code,county_id,elevation,id,lat,lon,name,state_abbr
099291,921,175.3,188,32.8694,-85.1892,WEST POINT,GA
100010,296,1342.6,189,42.9536,-112.8253,ABERDEEN EXP STN,ID
100448,1047,986.0,190,43.5936,-115.9236,ARROWROCK DAM,ID
100470,2237,1588.6,191,44.0425,-111.2739,ASHTON 1N,ID
100803,2936,1817.8,192,42.3353,-111.385,BERN,ID
101408,2701,807.7,193,44.5733,-116.6753,CAMBRIDGE,ID
101956,75,650.1,194,47.6789,-116.8017,COEUR DALENE,ID
102845,2013,303.3,195,46.5022,-116.3217,DWORSHAK FISH HATCHERY,ID
103143,981,475.5,196,46.0931,-115.5356,FENN RS,ID
103631,1047,751.6,197,42.9403,-115.3231,GLENNS FERRY,ID
103732,2900,1691.6,198,42.5872,-111.7275,GRACE,ID
104140,789,1237.5,199,42.5972,-114.1378,HAZELTON,ID
104295,2522,1379.2,200,42.3528,-114.5739,HOLLISTER,ID
104670,789,1140.0,201,42.7325,-114.5192,JEROME,ID
104831,2096,707.1,202,47.5311,-116.1267,KELLOGG,ID
104845,1014,1795.3,203,43.6842,-114.3603,KETCHUM RS,ID
105241,1108,437.7,204,46.3747,-117.0156,LEWISTON AP,ID
105275,2936,1806.2,205,42.1231,-111.3139,LIFTON PUMPING STN,ID
105462,97,1797.4,206,43.9181,-113.6317,MACKAY LOST RIVER RS,ID
105559,361,1362.5,207,42.1492,-112.2872,MALAD CITY,ID
105685,1906,1539.2,208,44.5664,-113.8953,MAY 2SSE,ID
106152,509,810.8,209,46.7244,-116.9608,MOSCOW U OF I,ID
106305,3133,752.9,210,43.6039,-116.5753,NAMPA SUGAR FACTORY,ID
106388,1429,1179.6,211,44.9647,-116.2864,NEW MEADOWS RS,ID
106542,1933,1389.6,212,42.2342,-113.8981,OAKLEY,ID
106891,2095,655.3,213,44.0772,-116.9297,PAYETTE,ID
107264,2935,541.0,214,48.9958,-116.5031,PORTHILL,ID
107386,291,725.4,215,48.3514,-116.8358,PRIEST RIVER EXP STN,ID
108080,1906,1198.2,216,45.1875,-113.9008,SALMON-KSRA,ID
108137,291,640.1,217,48.2928,-116.5578,SANDPOINT EXP STN,ID
110072,118,219.5,218,41.1961,-90.7478,ALEDO,IL
110187,1526,195.1,219,37.4814,-89.2344,ANNA 2 NNE,IL
110338,274,201.2,220,41.7806,-88.3092,AURORA,IL
111280,2621,189.3,221,39.2883,-89.8703,CARLINVILLE,IL
111436,841,198.1,222,39.4761,-88.1653,CHARLESTON,IL
112140,2153,170.1,223,40.1389,-87.6483,DANVILLE,IL
112193,910,189.0,224,39.8275,-88.9525,DECATUR WTP,IL
112348,1091,213.4,225,41.8472,-89.5047,DIXON 1 NW,IL
112483,1926,128.0,226,37.9878,-89.1931,DU QUOIN 4 SE,IL
