elevation,lat,lon,yield,yield_binned,color,ndx,soil,links,slopes
1627.6247,41.254458,-97.146273,82,2,#CB181D,1829,Olbut-Butler silt loams,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691306&ogc_fid=3816648,0 to 1 percent slopes
1623.6877,41.250129,-97.14665699999999,93,2,#CB181D,2490,Fillmore silt loam,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691277&ogc_fid=3816848,occasionally ponded
1627.9528,41.254284000000006,-97.146753,83,2,#CB181D,2631,Olbut-Butler silt loams,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691306&ogc_fid=3816648,0 to 1 percent slopes
1627.9528,41.252553000000006,-97.145074,87,2,#CB181D,5951,Olbut-Butler silt loams,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691306&ogc_fid=3816648,0 to 1 percent slopes
1628.6089,41.252425,-97.145038,72,2,#CB181D,6148,Olbut-Butler silt loams,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691306&ogc_fid=3816648,0 to 1 percent slopes
1630.5774,41.254771999999996,-97.145034,88,2,#CB181D,6240,Butler silt loam,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691270&ogc_fid=3816289,0 to 1 percent slopes
1626.9685,41.252541,-97.14500799999999,74,2,#CB181D,6502,Olbut-Butler silt loams,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691306&ogc_fid=3816648,0 to 1 percent slopes
1629.2651,41.2535,-97.14449,91,2,#CB181D,7354,Butler silt loam,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691270&ogc_fid=3816289,0 to 1 percent slopes
1629.2651,41.253609999999995,-97.144444,96,2,#CB181D,7626,Butler silt loam,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691270&ogc_fid=3816289,0 to 1 percent slopes
1630.5774,41.253919,-97.144334,84,2,#CB181D,7697,Butler silt loam,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691270&ogc_fid=3816289,0 to 1 percent slopes
