,lat,lon,yld,yld_ordinal,elevation,mukey,soil
2694,41.252801956521736,-97.14501423188406,181.11802136385754,4.0,1629.9213,1691270,"Butler silt loam, 0 to 1 percent slopes"
2695,41.252801956521736,-97.14492676811594,181.96702101895636,4.0,1627.2966,1691270,"Butler silt loam, 0 to 1 percent slopes"
2696,41.252801956521736,-97.14483930434783,184.79296035322224,4.0,1625.9843,1691270,"Butler silt loam, 0 to 1 percent slopes"
2697,41.252801956521736,-97.14475184057972,189.98405557719715,5.0,1625.9843,1691270,"Butler silt loam, 0 to 1 percent slopes"
2698,41.252801956521736,-97.14466437681159,195.7859445441798,6.0,1627.2966,1691270,"Butler silt loam, 0 to 1 percent slopes"
2699,41.252801956521736,-97.14457691304348,198.74714188848958,6.0,1625.3281,1691270,"Butler silt loam, 0 to 1 percent slopes"
2700,41.252801956521736,-97.14448944927537,198.6299365163535,6.0,1627.2966,1691270,"Butler silt loam, 0 to 1 percent slopes"
2701,41.252801956521736,-97.14440198550724,196.5710764807868,6.0,1627.6247,1691270,"Butler silt loam, 0 to 1 percent slopes"
2702,41.252801956521736,-97.14431452173913,192.60631016669578,5.0,1629.2651,1691270,"Butler silt loam, 0 to 1 percent slopes"
2703,41.252801956521736,-97.14422705797101,188.8192516430513,5.0,1630.9055,1691270,"Butler silt loam, 0 to 1 percent slopes"
2704,41.252801956521736,-97.1441395942029,186.72181515486642,5.0,1628.6089,1691270,"Butler silt loam, 0 to 1 percent slopes"
2705,41.252801956521736,-97.14405213043479,185.3579134329032,5.0,1625.6562,1691270,"Butler silt loam, 0 to 1 percent slopes"
2706,41.252801956521736,-97.14396466666666,184.55640424243677,4.0,1625.0,1691270,"Butler silt loam, 0 to 1 percent slopes"
2707,41.252801956521736,-97.14387720289855,184.44075732724804,4.0,1625.9843,1691270,"Butler silt loam, 0 to 1 percent slopes"
2708,41.252801956521736,-97.14378973913044,185.72561995632873,5.0,1625.0,1691270,"Butler silt loam, 0 to 1 percent slopes"
2709,41.252801956521736,-97.14370227536232,186.88390806975696,5.0,1625.9843,1691270,"Butler silt loam, 0 to 1 percent slopes"
2710,41.252801956521736,-97.1436148115942,187.6706507508738,5.0,1627.2966,1691270,"Butler silt loam, 0 to 1 percent slopes"
2711,41.252801956521736,-97.1435273478261,188.19696777324637,5.0,1626.3123,1691270,"Butler silt loam, 0 to 1 percent slopes"
2712,41.252801956521736,-97.14343988405797,188.45509822740877,5.0,1628.2808,1691270,"Butler silt loam, 0 to 1 percent slopes"
2713,41.252801956521736,-97.14335242028986,188.37511773620133,5.0,1632.874,1691270,"Butler silt loam, 0 to 1 percent slopes"
2714,41.252801956521736,-97.14326495652173,187.501587412718,5.0,1624.3438,1691270,"Butler silt loam, 0 to 1 percent slopes"
2715,41.252801956521736,-97.14317749275362,185.91522619571313,5.0,1628.2808,1691270,"Butler silt loam, 0 to 1 percent slopes"
2716,41.252801956521736,-97.14309002898551,185.0757680932441,4.0,1632.874,1691270,"Butler silt loam, 0 to 1 percent slopes"
